bin,total,start3=0,start3=1,start3=2,start3=3
0.000000,0.049902,0.013712,0.034111,0.002079,0.000000
0.001000,0.045799,0.010452,0.033830,0.001517,0.000000
0.002000,0.041753,0.009890,0.029109,0.002754,0.000000
0.003000,0.036920,0.008092,0.026524,0.002304,0.000000
0.004000,0.035235,0.005676,0.026187,0.003372,0.000000
0.005000,0.032537,0.005676,0.022591,0.004215,0.000056
0.006000,0.031245,0.004215,0.022197,0.004833,0.000000
0.007000,0.030964,0.003540,0.023209,0.004215,0.000000
0.008000,0.028323,0.002641,0.020399,0.005282,0.000000
0.009000,0.026693,0.002248,0.018713,0.005732,0.000000
0.010000,0.025569,0.002473,0.016634,0.006406,0.000056
0.011000,0.027142,0.001742,0.018095,0.007249,0.000056
0.012000,0.025906,0.001405,0.017421,0.007081,0.000000
0.013000,0.024670,0.000955,0.016465,0.007249,0.000000
0.014000,0.021467,0.001068,0.014049,0.006350,0.000000
0.015000,0.020230,0.000562,0.013656,0.006013,0.000000
0.016000,0.020849,0.000393,0.013824,0.006631,0.000000
0.017000,0.021411,0.000843,0.014049,0.006519,0.000000
0.018000,0.021860,0.000731,0.013936,0.007193,0.000000
0.019000,0.021242,0.000337,0.014442,0.006406,0.000056
0.020000,0.021017,0.000225,0.013543,0.007249,0.000000
0.021000,0.020624,0.000225,0.012419,0.007924,0.000056
0.022000,0.017814,0.000281,0.010677,0.006800,0.000056
0.023000,0.020568,0.000112,0.011689,0.008767,0.000000
0.024000,0.022478,0.000169,0.012419,0.009890,0.000000
0.025000,0.019275,0.000056,0.009890,0.009216,0.000112
0.026000,0.021017,0.000337,0.010284,0.010396,0.000000
0.027000,0.019106,0.000337,0.008767,0.010003,0.000000
0.028000,0.019050,0.000056,0.008092,0.010902,0.000000
0.029000,0.017870,0.000169,0.007867,0.009834,0.000000
0.030000,0.016578,0.000056,0.006968,0.009553,0.000000
0.031000,0.017533,0.000281,0.007249,0.010003,0.000000
0.032000,0.017083,0.000056,0.007081,0.009890,0.000056
0.033000,0.015060,0.000225,0.005339,0.009497,0.000000
0.034000,0.015117,0.000000,0.005563,0.009497,0.000056
0.035000,0.014330,0.000056,0.005563,0.008654,0.000056
0.036000,0.012532,0.000000,0.004383,0.008092,0.000056
0.037000,0.010677,0.000056,0.003877,0.006743,0.000000
0.038000,0.010846,0.000000,0.003540,0.007249,0.000056
0.039000,0.009666,0.000000,0.003821,0.005844,0.000000
0.040000,0.008486,0.000000,0.002641,0.005788,0.000056
0.041000,0.007699,0.000000,0.002810,0.004889,0.000000
0.042000,0.006294,0.000000,0.002585,0.003709,0.000000
0.043000,0.006069,0.000000,0.001742,0.004271,0.000056
0.044000,0.005282,0.000000,0.001686,0.003597,0.000000
0.045000,0.004889,0.000000,0.001517,0.003372,0.000000
0.046000,0.004158,0.000000,0.001405,0.002754,0.000000
0.047000,0.003316,0.000000,0.000899,0.002416,0.000000
0.048000,0.002304,0.000000,0.000618,0.001573,0.000112
0.049000,0.002585,0.000000,0.000787,0.001742,0.000056
0.050000,0.001686,0.000056,0.000337,0.001292,0.000000
0.051000,0.002023,0.000000,0.000562,0.001349,0.000112
0.052000,0.001517,0.000000,0.000450,0.001012,0.000056
0.053000,0.001573,0.000056,0.000618,0.000899,0.000000
0.054000,0.001292,0.000000,0.000337,0.000955,0.000000
0.055000,0.001461,0.000000,0.000562,0.000618,0.000281
0.056000,0.001236,0.000000,0.000281,0.000843,0.000112
0.057000,0.001630,0.000000,0.000281,0.001068,0.000281
0.058000,0.000618,0.000000,0.000056,0.000450,0.000112
0.059000,0.000843,0.000000,0.000112,0.000618,0.000112
0.060000,0.001012,0.000000,0.000281,0.000618,0.000112
0.061000,0.000618,0.000000,0.000112,0.000337,0.000169
0.062000,0.000562,0.000000,0.000169,0.000337,0.000056
0.063000,0.000618,0.000000,0.000056,0.000337,0.000225
0.064000,0.000337,0.000000,0.000112,0.000112,0.000112
0.065000,0.000674,0.000000,0.000000,0.000562,0.000112
0.066000,0.000169,0.000000,0.000000,0.000169,0.000000
0.067000,0.000393,0.000000,0.000000,0.000337,0.000056
0.068000,0.000337,0.000000,0.000112,0.000225,0.000000
0.069000,0.000112,0.000000,0.000000,0.000056,0.000056
0.070000,0.000225,0.000000,0.000056,0.000112,0.000056
0.071000,0.000112,0.000000,0.000000,0.000056,0.000056
0.072000,0.000225,0.000000,0.000000,0.000056,0.000169
0.073000,0.000169,0.000000,0.000000,0.000112,0.000056
0.074000,0.000281,0.000000,0.000000,0.000169,0.000112
0.075000,0.000169,0.000000,0.000000,0.000169,0.000000
0.076000,0.000112,0.000000,0.000000,0.000112,0.000000
0.077000,0.000112,0.000000,0.000000,0.000056,0.000056
0.078000,0.000056,0.000000,0.000000,0.000000,0.000056
0.079000,0.000056,0.000000,0.000000,0.000000,0.000056
0.080000,0.000112,0.000000,0.000000,0.000000,0.000112
0.084000,0.000112,0.000000,0.000000,0.000056,0.000056
0.085000,0.000112,0.000000,0.000000,0.000000,0.000112
0.086000,0.000056,0.000000,0.000000,0.000000,0.000056
0.087000,0.000056,0.000000,0.000000,0.000056,0.000000
0.089000,0.000056,0.000000,0.000000,0.000000,0.000056
0.090000,0.000056,0.000000,0.000000,0.000000,0.000056
0.094000,0.000056,0.000000,0.000000,0.000000,0.000056
0.099000,0.000056,0.000000,0.000000,0.000000,0.000056
0.102000,0.000056,0.000000,0.000000,0.000000,0.000056
