bin,total,start3=0,start3=1,start3=2,start3=3
0.010000,0.080753,0.007811,0.049284,0.023546,0.000112
0.011000,0.103063,0.009385,0.062321,0.030964,0.000393
0.012000,0.113740,0.011071,0.068278,0.034223,0.000169
0.013000,0.126946,0.011014,0.075808,0.039505,0.000618
0.014000,0.131498,0.011295,0.076763,0.042933,0.000506
0.015000,0.121270,0.008991,0.069907,0.041753,0.000618
0.016000,0.108795,0.007249,0.063670,0.037314,0.000562
0.017000,0.088508,0.006069,0.050239,0.031807,0.000393
0.018000,0.072099,0.003821,0.043102,0.024726,0.000450
0.019000,0.053330,0.002754,0.030289,0.019893,0.000393
