bin,total,start3=0,start3=1,start3=2,start3=3
0.010000,0.081438,0.008874,0.047964,0.024319,0.000281
0.011000,0.103286,0.010390,0.060376,0.032013,0.000505
0.012000,0.115810,0.011289,0.067284,0.036787,0.000449
0.013000,0.123392,0.010334,0.075147,0.037405,0.000505
0.014000,0.126874,0.010278,0.073406,0.042628,0.000562
0.015000,0.125021,0.010447,0.072676,0.041337,0.000562
0.016000,0.106712,0.006459,0.061837,0.037911,0.000505
0.017000,0.090873,0.005279,0.053693,0.031227,0.000674
0.018000,0.073013,0.003145,0.044819,0.024712,0.000337
0.019000,0.053580,0.002303,0.029935,0.021118,0.000225
