bin,total,start3=0,start3=1,start3=2,start3=3
0.000000,0.032049,0.007035,0.023171,0.001843,0.000000
0.001000,0.031826,0.004411,0.025181,0.002233,0.000000
0.002000,0.032217,0.004299,0.025293,0.002624,0.000000
0.003000,0.031937,0.003350,0.025293,0.003238,0.000056
0.004000,0.031267,0.003964,0.023506,0.003797,0.000000
0.005000,0.030542,0.003183,0.023562,0.003797,0.000000
0.006000,0.029313,0.002568,0.022390,0.004355,0.000000
0.007000,0.028699,0.002568,0.021664,0.004467,0.000000
0.008000,0.029481,0.002233,0.021161,0.006086,0.000000
0.009000,0.028308,0.002010,0.019821,0.006421,0.000056
0.010000,0.029090,0.001619,0.021050,0.006253,0.000168
0.011000,0.025907,0.001396,0.018760,0.005751,0.000000
0.012000,0.025181,0.001284,0.017197,0.006588,0.000112
0.013000,0.027192,0.001228,0.018035,0.007929,0.000000
0.014000,0.026857,0.000893,0.018202,0.007761,0.000000
0.015000,0.025461,0.001284,0.015969,0.008208,0.000000
0.016000,0.024791,0.000726,0.014740,0.009324,0.000000
0.017000,0.023953,0.000838,0.014461,0.008599,0.000056
0.018000,0.024121,0.000447,0.014964,0.008710,0.000000
0.019000,0.022725,0.000670,0.013400,0.008599,0.000056
0.020000,0.023227,0.000112,0.014294,0.008822,0.000000
0.021000,0.021999,0.000447,0.012954,0.008543,0.000056
0.022000,0.020659,0.000503,0.011558,0.008487,0.000112
0.023000,0.019207,0.000838,0.010162,0.008096,0.000112
0.024000,0.020268,0.000447,0.010385,0.009380,0.000056
0.025000,0.021273,0.000335,0.011279,0.009604,0.000056
0.026000,0.020603,0.000112,0.011111,0.009380,0.000000
0.027000,0.019486,0.000223,0.010776,0.008431,0.000056
0.028000,0.018481,0.000056,0.007817,0.010609,0.000000
0.029000,0.017365,0.000168,0.008375,0.008822,0.000000
0.030000,0.017811,0.000168,0.008319,0.009269,0.000056
0.031000,0.016415,0.000112,0.007035,0.009101,0.000168
0.032000,0.015131,0.000168,0.006756,0.008208,0.000000
0.033000,0.013456,0.000112,0.006142,0.007203,0.000000
0.034000,0.014629,0.000112,0.006198,0.008264,0.000056
0.035000,0.013735,0.000000,0.004523,0.009213,0.000000
0.036000,0.014126,0.000112,0.005360,0.008543,0.000112
0.037000,0.012116,0.000056,0.005081,0.006979,0.000000
0.038000,0.009380,0.000000,0.003741,0.005639,0.000000
0.039000,0.009715,0.000056,0.003294,0.006365,0.000000
0.040000,0.008934,0.000112,0.003350,0.005416,0.000056
0.041000,0.008878,0.000000,0.002513,0.006309,0.000056
0.042000,0.007761,0.000000,0.002624,0.005081,0.000056
0.043000,0.007761,0.000112,0.002345,0.005248,0.000056
0.044000,0.007314,0.000000,0.002792,0.004523,0.000000
0.045000,0.006812,0.000000,0.002178,0.004578,0.000056
0.046000,0.005528,0.000000,0.001117,0.004299,0.000112
0.047000,0.004132,0.000000,0.001508,0.002513,0.000112
0.048000,0.004411,0.000000,0.001619,0.002680,0.000112
0.049000,0.004802,0.000000,0.001396,0.003350,0.000056
0.050000,0.002959,0.000000,0.000726,0.002010,0.000223
0.051000,0.003127,0.000000,0.001005,0.002122,0.000000
0.052000,0.003127,0.000000,0.000503,0.002513,0.000112
0.053000,0.002513,0.000000,0.000670,0.001675,0.000168
0.054000,0.001954,0.000000,0.000558,0.001228,0.000168
0.055000,0.002066,0.000000,0.000223,0.001563,0.000279
0.056000,0.002066,0.000000,0.000614,0.001228,0.000223
0.057000,0.002010,0.000000,0.000558,0.001228,0.000223
0.058000,0.001228,0.000000,0.000391,0.000726,0.000112
0.059000,0.001731,0.000000,0.000223,0.001284,0.000223
0.060000,0.001228,0.000000,0.000112,0.000893,0.000223
0.061000,0.001284,0.000000,0.000335,0.000893,0.000056
0.062000,0.000893,0.000000,0.000112,0.000503,0.000279
0.063000,0.001005,0.000000,0.000056,0.000782,0.000168
0.064000,0.000279,0.000000,0.000112,0.000056,0.000112
0.065000,0.000782,0.000000,0.000000,0.000503,0.000279
0.066000,0.000949,0.000000,0.000000,0.000335,0.000614
0.067000,0.000447,0.000000,0.000056,0.000279,0.000112
0.068000,0.000447,0.000000,0.000000,0.000223,0.000223
0.069000,0.000279,0.000000,0.000000,0.000279,0.000000
0.070000,0.000168,0.000000,0.000000,0.000112,0.000056
0.071000,0.000168,0.000000,0.000000,0.000056,0.000112
0.072000,0.000279,0.000000,0.000000,0.000112,0.000168
0.073000,0.000335,0.000000,0.000000,0.000168,0.000168
0.074000,0.000447,0.000000,0.000056,0.000279,0.000112
0.075000,0.000335,0.000000,0.000000,0.000279,0.000056
0.076000,0.000112,0.000000,0.000000,0.000056,0.000056
0.077000,0.000168,0.000000,0.000000,0.000112,0.000056
0.078000,0.000112,0.000000,0.000000,0.000000,0.000112
0.079000,0.000168,0.000000,0.000000,0.000000,0.000168
0.081000,0.000168,0.000000,0.000000,0.000056,0.000112
0.082000,0.000056,0.000000,0.000000,0.000000,0.000056
0.083000,0.000056,0.000000,0.000000,0.000056,0.000000
0.084000,0.000056,0.000000,0.000000,0.000056,0.000000
0.085000,0.000112,0.000000,0.000000,0.000056,0.000056
0.086000,0.000112,0.000000,0.000000,0.000056,0.000056
0.088000,0.000056,0.000000,0.000000,0.000000,0.000056
0.089000,0.000056,0.000000,0.000000,0.000056,0.000000
0.091000,0.000056,0.000000,0.000000,0.000000,0.000056
0.092000,0.000056,0.000000,0.000000,0.000000,0.000056
0.093000,0.000056,0.000000,0.000000,0.000056,0.000000
0.094000,0.000056,0.000000,0.000000,0.000000,0.000056
