start1->finish3,start1->finish1,finish1->start2,start2->finish2,finish2->start3,start3->finish3,start3
0.099256,0.013028,0.016050,0.023410,0.011499,0.035269,1
0.148051,0.010952,0.027325,0.020513,0.053020,0.036241,1
0.141361,0.014789,0.024535,0.021755,0.041940,0.038342,2
0.148025,0.017244,0.013774,0.029694,0.051338,0.035975,1
0.167120,0.018927,0.036197,0.020660,0.058533,0.032803,2
0.127348,0.012597,0.033952,0.020180,0.029132,0.031487,2
0.130739,0.015258,0.030222,0.029593,0.016764,0.038902,2
0.138626,0.015338,0.009691,0.024946,0.049038,0.039613,2
0.094965,0.013930,0.008865,0.027181,0.009912,0.035077,1
0.110748,0.015593,0.007801,0.029228,0.018966,0.039160,1
0.097146,0.015243,0.014408,0.026481,0.004776,0.036238,1
0.123275,0.015370,0.007938,0.028925,0.035436,0.035606,1
0.126965,0.013661,0.020306,0.028029,0.028066,0.036903,1
0.123377,0.017296,0.034210,0.020207,0.017708,0.033956,1
0.155473,0.019840,0.015475,0.021802,0.062780,0.035576,1
0.145961,0.015051,0.034276,0.024383,0.034796,0.037455,2
0.136549,0.012835,0.035576,0.029469,0.028306,0.030363,2
0.142654,0.016962,0.013997,0.023003,0.050136,0.038556,1
0.136573,0.014734,0.024312,0.028837,0.033506,0.035184,2
0.090267,0.012398,0.019080,0.023484,0.001344,0.033961,1
0.125824,0.015189,0.015585,0.026071,0.036292,0.032687,2
0.138199,0.012614,0.004136,0.024860,0.062498,0.034091,1
0.123920,0.016181,0.029411,0.025209,0.017375,0.035744,2
0.142683,0.015265,0.030167,0.021202,0.044942,0.031107,2
0.135216,0.014486,0.010355,0.028984,0.046534,0.034857,1
0.142195,0.012398,0.021875,0.020699,0.050503,0.036720,2
0.138619,0.010728,0.036174,0.025790,0.028960,0.036967,2
0.096093,0.017946,0.008037,0.022217,0.009092,0.038801,1
0.104644,0.016671,0.004607,0.020325,0.024423,0.038618,1
0.125624,0.015068,0.023130,0.023778,0.024464,0.039184,2
0.099042,0.014651,0.002977,0.028481,0.019860,0.033073,1
0.088117,0.015699,0.000680,0.023343,0.013536,0.034859,1
0.140982,0.015075,0.019799,0.023723,0.046165,0.036220,2
0.119714,0.016109,0.000844,0.028307,0.039407,0.035047,1
0.137842,0.014341,0.030124,0.022491,0.035552,0.035334,2
0.144295,0.018420,0.026124,0.024252,0.042142,0.033357,1
0.138139,0.016325,0.030296,0.024777,0.035927,0.030814,2
