bin,total,finish1->start2,finish2->start3,start1->finish1,start2->finish2,start3->finish3
0.064000,0.000056,0.000002,0.000000,0.000009,0.000018,0.000026
0.066000,0.000112,0.000001,0.000003,0.000018,0.000037,0.000053
0.069000,0.000168,0.000002,0.000004,0.000030,0.000054,0.000078
0.070000,0.000056,0.000002,0.000001,0.000010,0.000017,0.000025
0.071000,0.000168,0.000007,0.000008,0.000028,0.000048,0.000076
0.072000,0.000279,0.000005,0.000008,0.000056,0.000086,0.000126
0.073000,0.000391,0.000016,0.000016,0.000061,0.000117,0.000182
0.074000,0.001005,0.000040,0.000037,0.000183,0.000295,0.000451
0.075000,0.001340,0.000050,0.000052,0.000243,0.000400,0.000594
0.076000,0.001284,0.000050,0.000066,0.000217,0.000393,0.000558
0.077000,0.002457,0.000067,0.000111,0.000421,0.000752,0.001105
0.078000,0.002680,0.000116,0.000138,0.000472,0.000794,0.001161
0.079000,0.003294,0.000147,0.000190,0.000556,0.000991,0.001410
0.080000,0.004969,0.000238,0.000248,0.000855,0.001467,0.002161
0.081000,0.004523,0.000182,0.000310,0.000786,0.001322,0.001924
0.082000,0.004578,0.000263,0.000317,0.000756,0.001324,0.001919
0.083000,0.006477,0.000350,0.000507,0.001057,0.001852,0.002711
0.084000,0.006644,0.000426,0.000473,0.001106,0.001878,0.002762
0.085000,0.007314,0.000453,0.000624,0.001196,0.002021,0.003021
0.086000,0.008822,0.000570,0.000775,0.001429,0.002436,0.003613
0.087000,0.007259,0.000529,0.000639,0.001135,0.001978,0.002977
0.088000,0.010497,0.000748,0.000935,0.001702,0.002847,0.004264
0.089000,0.008878,0.000642,0.000863,0.001406,0.002394,0.003573
0.090000,0.008264,0.000589,0.000864,0.001277,0.002237,0.003296
0.091000,0.008096,0.000679,0.000887,0.001247,0.002115,0.003167
0.092000,0.008152,0.000674,0.000875,0.001271,0.002162,0.003169
0.093000,0.007705,0.000616,0.000943,0.001164,0.002017,0.002965
0.094000,0.007035,0.000595,0.000861,0.001090,0.001813,0.002675
0.095000,0.006588,0.000633,0.000808,0.000996,0.001670,0.002482
0.096000,0.007929,0.000787,0.000959,0.001165,0.002022,0.002995
0.097000,0.006644,0.000694,0.000828,0.000993,0.001649,0.002480
0.098000,0.006421,0.000651,0.000858,0.000962,0.001592,0.002358
0.099000,0.006588,0.000635,0.000953,0.000986,0.001626,0.002389
0.100000,0.005807,0.000531,0.000963,0.000820,0.001429,0.002064
0.101000,0.006365,0.000622,0.001034,0.000890,0.001563,0.002256
0.102000,0.005583,0.000602,0.000937,0.000786,0.001322,0.001936
0.103000,0.005081,0.000520,0.000901,0.000705,0.001214,0.001741
0.104000,0.005863,0.000530,0.001148,0.000781,0.001389,0.002015
0.105000,0.006588,0.000681,0.001247,0.000892,0.001514,0.002255
0.106000,0.006086,0.000688,0.001169,0.000813,0.001383,0.002032
0.107000,0.005528,0.000638,0.001070,0.000743,0.001256,0.001820
0.108000,0.005639,0.000699,0.001060,0.000763,0.001255,0.001862
0.109000,0.006812,0.000736,0.001430,0.000909,0.001548,0.002188
